num_threads,l2_assoc,accel_clock_time,num_accels,l2_size,total_time (ns),total_accel_time (ns),total_energy (nJ),fu_energy (nJ),spad_energy (nJ),llc_leakage_energy (nJ),llc_dynamic_energy (nJ),total_area (uM^2),fu_area,mem_area,num_sp_multiplier,num_sp_adder,num_dp_multiplier,num_dp_adder,num_trig_unit,num_multiplier,num_adder,num_bit_wise,num_shifter,num_register
1,16,1,1,131072,779858,529104,11711.5,4295.1,1853.43,4905.6,657.37,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,131072,779314,529929,28188.94,17201.4,1853.73,7764.03,1369.78,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,131072,1046344,636454,9693.16,4524.83,1891.96,3116.22,160.16,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,131072,1047074,637334,18259,4530.32,1892.27,10431.63,1404.78,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,131072,2596376,1205584,18011.48,8015.76,2096.21,7732.53,166.98,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,8,1,131072,2597424,1205928,37459.73,8017.36,2096.33,25877.23,1468.81,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,4,1,131072,1567620,846484,29882.05,10569.06,2271.08,15617.65,1424.26,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,1,1,131072,783701,530113,9214.88,4301.2,2424.42,2334.02,155.24,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,131072,911112,389356,14818.5,3100.9,773.64,5731.24,5212.72,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,4,1,131072,1421908,600952,30191.55,4255.98,919.44,14165.97,10850.17,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,2,1,131072,917600,386726,6693.34,1969.6,773.17,2732.8,1217.77,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,4,1,131072,1427268,602500,19560.94,4562.86,811.89,8978.06,5208.13,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,8,1,262144,2596640,1205608,23320.37,2004.07,1717.66,19223.83,374.8,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,4,4,1,262144,1573824,845732,13839.51,2836.18,1739.45,9055.88,208,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,1,1,131072,666706,278632,6747.85,2743.92,803.76,1985.58,1214.58,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,2,1,131072,908666,387304,23835.82,3088.18,842.76,9052.72,10852.15,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,1,1,131072,661114,279893,8390.99,2754.04,804.22,2441.44,2391.29,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,2,1,262144,1044838,636242,17750.17,4523.16,1891.88,10629.97,705.15,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,16,8,1,131072,2489152,1025192,28668.5,6972.89,795.76,15657.71,5242.14,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,4,1,262144,1567616,846612,19616.46,5679.16,1967.38,11605.61,364.31,1723940,584053,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,1,1,131072,658616,277980,21641.35,2739.81,1501.75,6561.56,10838.23,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,4,8,1,131072,2484896,1023792,11327.96,1634.32,1071.18,7400.52,1221.93,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,32,1,1,262144,779248,530455,44743.05,27307.27,3186.24,12851.05,1398.5,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,2,1,262144,1044838,636242,25924.8,15252.08,2576.77,7735.3,360.65,1734300,594417,1139890,0,0,0,0,0,20,144,35,18,1632
1,32,8,1,131072,2486512,1025360,43724.87,6971.45,1071.75,24772.25,10909.43,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,16,8,1,262144,2596640,1205608,29870.21,1002.01,1717.66,26417.7,732.84,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
1,8,1,1,262144,779248,530452,16996,8452.3,2424.91,5769.05,349.75,1772760,632878,1139890,0,0,0,0,0,20,144,35,18,1632
1,8,8,1,131072,2473832,1022080,19379.68,6952.03,887.18,9135.66,2404.8,1728230,588348,1139890,0,0,0,0,0,21,144,35,18,1633
