cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	32768	1	2	4	1	131072	745136	82.5142	71.4392	68.0384	3.40076	11.075	8.88703	2.18802	802456.0	268286.0	534170.0	0	0	8	8	0	0	0	0	9	46
2	16384	8	1	1	4	131072	478608	64.6251	43.4986	41.4394	2.05917	21.1265	19.5489	1.57769	430061.0	205903.0	224158.0	0	0	8	8	0	0	0	0	9	53
2	32768	4	1	4	2	262144	544095	49.1241	38.9823	36.942	2.04024	10.1419	7.83168	2.31017	659560.0	204371.0	455188.0	0	0	8	8	0	0	0	0	9	45
1	32768	1	1	1	1	262144	713886	87.7841	73.7033	70.3049	3.39839	14.0808	11.8928	2.18802	802264.0	268094.0	534170.0	0	0	8	8	0	0	0	0	9	45
1	131072	1	1	4	4	131072	348100	231.827	149.275	145.876	3.39839	82.5517	73.9731	8.57863	2199750.0	268094.0	1931650.0	0	0	8	8	0	0	0	0	9	45
4	16384	4	1	2	8	524288	415721	31.8903	23.4166	21.7937	1.62295	8.47371	7.18094	1.29277	417110.0	182667.0	234443.0	0	0	8	8	0	0	0	0	9	50
2	32768	4	4	4	8	131072	492043	55.4388	42.8344	40.7847	2.0497	12.6044	10.2942	2.31017	660325.0	205137.0	455188.0	0	0	8	8	0	0	0	0	9	49
1	16384	16	4	2	1	524288	875455	103.566	61.309	57.9012	3.40786	42.2573	39.2979	2.95945	947346.0	268860.0	678486.0	0	0	8	8	0	0	0	0	9	49
1	65536	2	2	2	16	524288	382646	178.862	135.973	132.574	3.39839	42.8892	38.763	4.12621	1120600.0	268094.0	852502.0	0	0	8	8	0	0	0	0	9	45
2	65536	2	4	2	16	131072	373034	80.2911	56.0998	54.0595	2.04024	24.1914	20.0652	4.12621	1056870.0	204371.0	852502.0	0	0	8	8	0	0	0	0	9	45
2	65536	2	4	4	1	524288	541924	52.6645	39.2791	37.2389	2.04024	13.3854	9.25915	4.12621	1056870.0	204371.0	852502.0	0	0	8	8	0	0	0	0	9	45
4	65536	1	4	1	2	262144	487705	30.3834	20.3999	18.7794	1.62058	9.9835	5.90554	4.07797	1034140.0	182476.0	851663.0	0	0	8	8	0	0	0	0	9	49
4	131072	2	1	1	16	1048576	302049	110.764	31.7035	30.1019	1.60165	79.0601	70.7764	8.2837	2128520.0	180944.0	1947580.0	0	0	8	8	0	0	0	0	9	41
4	65536	16	2	4	2	131072	441779	52.4927	22.3939	20.7733	1.62058	30.0989	24.3892	5.7097	1425690.0	182476.0	1243210.0	0	0	8	8	0	0	0	0	9	49
1	32768	4	2	4	8	131072	591117	108.115	88.3807	84.9728	3.40786	19.7338	17.4236	2.31017	724048.0	268860.0	455188.0	0	0	8	8	0	0	0	0	9	49
1	16384	4	4	2	2	131072	841854	71.6743	63.5129	60.1051	3.40786	8.16138	6.86861	1.29277	503303.0	268860.0	234443.0	0	0	8	8	0	0	0	0	9	49
4	32768	1	2	4	8	131072	401062	31.9473	24.4571	22.846	1.61112	7.49017	5.30215	2.18802	715880.0	181710.0	534170.0	0	0	8	8	0	0	0	0	9	45
2	16384	4	4	4	4	131072	509823	49.5601	41.1532	39.1035	2.0497	8.40691	7.11414	1.29277	439580.0	205137.0	234443.0	0	0	8	8	0	0	0	0	9	49
1	32768	4	2	2	16	262144	577699	110.466	90.2208	86.8129	3.40786	20.2449	17.9347	2.31017	724048.0	268860.0	455188.0	0	0	8	8	0	0	0	0	9	49
1	131072	1	1	4	2	524288	422024	181.911	123.357	119.958	3.39839	58.5543	49.9757	8.57863	2199750.0	268094.0	1931650.0	0	0	8	8	0	0	0	0	9	45
1	131072	1	1	4	2	131072	422024	181.911	123.357	119.958	3.39839	58.5543	49.9757	8.57863	2199750.0	268094.0	1931650.0	0	0	8	8	0	0	0	0	9	45
2	65536	8	4	4	16	262144	405180	77.6642	51.7913	49.7416	2.0497	25.8729	21.3496	4.52326	1089780.0	205137.0	884645.0	0	0	8	8	0	0	0	0	9	49
1	32768	4	2	2	4	1048576	577699	110.466	90.2208	86.8129	3.40786	20.2449	17.9347	2.31017	724048.0	268860.0	455188.0	0	0	8	8	0	0	0	0	9	49
1	131072	8	2	2	2	524288	418477	253.636	124.318	120.91	3.40786	129.317	120.53	8.78763	2262340.0	268860.0	1993480.0	0	0	8	8	0	0	0	0	9	49
4	16384	4	1	4	2	131072	497105	24.3442	19.9659	18.3477	1.61822	4.37829	3.08552	1.29277	416728.0	182284.0	234443.0	0	0	8	8	0	0	0	0	9	48
1	65536	8	2	4	8	524288	445301	160.673	117.255	113.857	3.39839	43.4179	38.8946	4.52326	1152740.0	268094.0	884645.0	0	0	8	8	0	0	0	0	9	45
