cycle_time	cache_size	cache_assoc	cache_hit_latency	tlb_hit_latency	tlb_entries	l2cache_size	cycle	avg_power	fu_power	avg_fu_dynamic_power	avg_fu_leakage_power	avg_mem_power	avg_mem_dynamic_power	avg_mem_leakage_power	total_area	fu_area	mem_area	num_sp_multiplier	num_sp_adder	num_dp_multiplier	num_dp_adder	num_trig_unit	num_multiplier	num_adder	num_bit_wise	num_shifter	num_register
1	32768	1	2	4	1	131072	233513	10.4825	3.03094	1.97534	1.0556	7.45157	5.26355	2.18802	631554.0	97383.7	534170.0	0	0	0	0	0	8	84	30	31	73
2	16384	8	1	1	4	131072	60754	18.7005	3.90645	3.0593	0.847147	14.794	13.2163	1.57769	304896.0	80737.7	224158.0	0	0	0	0	0	8	84	30	31	80
2	32768	4	1	4	2	262144	84346	13.7647	3.04495	2.20254	0.842414	10.7197	8.40953	2.31017	535543.0	80354.9	455188.0	0	0	0	0	0	8	84	30	31	78
1	32768	1	1	1	1	262144	222762	10.7666	3.12681	2.07121	1.0556	7.63974	5.45172	2.18802	631554.0	97383.7	534170.0	0	0	0	0	0	8	84	30	31	73
1	131072	1	1	4	4	131072	74580	65.8124	7.22448	6.17598	1.0485	58.5879	50.0092	8.57863	2028460.0	96809.5	1931650.0	0	0	0	0	0	8	84	30	31	70
4	16384	4	1	2	8	524288	51405	8.9628	2.4799	1.63507	0.844834	6.4829	5.19013	1.29277	310653.0	76209.4	234443.0	0	0	0	0	0	8	84	30	31	78
2	32768	4	4	4	8	131072	74300	15.1178	3.34788	2.50074	0.847147	11.7699	9.45969	2.31017	535926.0	80737.7	455188.0	0	0	0	0	0	8	84	30	31	80
1	16384	16	4	2	1	524288	143281	50.9759	4.30516	3.22116	1.084	46.6707	43.7113	2.95945	778167.0	99680.6	678486.0	0	0	0	0	0	8	84	30	31	85
1	65536	2	2	2	16	524288	90184	33.0954	6.15295	5.10208	1.05087	26.9424	22.8162	4.12621	949503.0	97000.9	852502.0	0	0	0	0	0	8	84	30	31	71
2	65536	2	4	2	16	131072	69187	22.452	3.53325	2.6861	0.847147	18.9187	14.7925	4.12621	933240.0	80737.7	852502.0	0	0	0	0	0	8	84	30	31	80
2	65536	2	4	4	1	524288	120789	15.0814	2.39156	1.54204	0.849513	12.6898	8.56361	4.12621	933431.0	80929.1	852502.0	0	0	0	0	0	8	84	30	31	81
4	65536	1	4	1	2	262144	129503	9.44143	1.48811	0.648009	0.840101	7.95332	3.87535	4.07797	927489.0	75826.6	851663.0	0	0	0	0	0	8	84	30	31	76
4	131072	2	1	1	16	1048576	43282	54.9693	2.77719	1.93946	0.837734	52.1921	43.9084	8.2837	2023220.0	75635.2	1947580.0	0	0	0	0	0	8	84	30	31	75
4	65536	16	2	4	2	131072	77552	31.7013	1.93256	1.08063	0.851933	29.7688	24.0591	5.7097	1320000.0	76783.7	1243210.0	0	0	0	0	0	8	84	30	31	81
1	32768	4	2	4	8	131072	95711	22.899	5.85702	4.80616	1.05087	17.0419	14.7318	2.31017	552189.0	97000.9	455188.0	0	0	0	0	0	8	84	30	31	71
1	16384	4	4	2	2	131072	118505	15.1728	4.95719	3.88739	1.0698	10.2156	8.92287	1.29277	332976.0	98532.1	234443.0	0	0	0	0	0	8	84	30	31	79
4	32768	1	2	4	8	131072	104698	6.81077	1.65998	0.812778	0.8472	5.15079	2.96277	2.18802	610571.0	76400.8	534170.0	0	0	0	0	0	8	84	30	31	79
2	16384	4	4	4	4	131072	74952	11.3987	3.32608	2.47893	0.847147	8.07267	6.7799	1.29277	315181.0	80737.7	234443.0	0	0	0	0	0	8	84	30	31	80
1	32768	4	2	2	16	262144	93726	23.3373	5.96015	4.90928	1.05087	17.3772	15.067	2.31017	552189.0	97000.9	455188.0	0	0	0	0	0	8	84	30	31	71
1	131072	1	1	4	2	524288	95882	51.1077	5.85924	4.79654	1.0627	45.2484	36.6698	8.57863	2029610.0	97957.9	1931650.0	0	0	0	0	0	8	84	30	31	76
1	131072	1	1	4	2	131072	95882	51.1077	5.85924	4.79654	1.0627	45.2484	36.6698	8.57863	2029610.0	97957.9	1931650.0	0	0	0	0	0	8	84	30	31	76
2	65536	8	4	4	16	262144	73162	24.5801	3.38677	2.53962	0.847147	21.1933	16.6701	4.52326	965383.0	80737.7	884645.0	0	0	0	0	0	8	84	30	31	80
1	32768	4	2	2	4	1048576	93827	23.3128	5.95477	4.9039	1.05087	17.3581	15.0479	2.31017	552189.0	97000.9	455188.0	0	0	0	0	0	8	84	30	31	71
1	131072	8	2	2	2	524288	96708	99.7141	5.81891	4.75857	1.06033	93.8952	85.1076	8.78763	2091250.0	97766.5	1993480.0	0	0	0	0	0	8	84	30	31	75
4	16384	4	1	4	2	131072	76080	6.61148	1.9534	1.10147	0.851933	4.65808	3.36531	1.29277	311227.0	76783.7	234443.0	0	0	0	0	0	8	84	30	31	81
1	65536	8	2	4	8	524288	93608	36.6419	5.96506	4.91419	1.05087	30.6768	26.1536	4.52326	981646.0	97000.9	884645.0	0	0	0	0	0	8	84	30	31	71
4	65536	1	2	1	2	524288	117452	9.9076	1.55481	0.714714	0.840101	8.35278	4.27482	4.07797	927489.0	75826.6	851663.0	0	0	0	0	0	8	84	30	31	76
2	131072	1	4	4	2	131072	87130	31.6255	2.97454	2.13213	0.842414	28.6509	20.0723	8.57863	2012010.0	80354.9	1931650.0	0	0	0	0	0	8	84	30	31	78
4	16384	1	4	2	16	131072	114522	4.76957	1.59014	0.742938	0.8472	3.17943	1.97169	1.20775	310928.0	76400.8	234527.0	0	0	0	0	0	8	84	30	31	79
4	32768	2	4	1	16	524288	57981	10.0932	2.27779	1.44715	0.830635	7.8154	5.56706	2.24834	530422.0	75061.0	455361.0	0	0	0	0	0	8	84	30	31	72
2	32768	16	1	4	1	524288	115773	34.8326	2.44291	1.60759	0.835314	32.3897	28.5849	3.80483	941684.0	79780.7	861903.0	0	0	0	0	0	8	84	30	31	75
4	32768	2	4	4	2	262144	83951	7.95315	1.85101	0.999076	0.851933	6.10214	3.8538	2.24834	532145.0	76783.7	455361.0	0	0	0	0	0	8	84	30	31	81
2	16384	1	2	4	16	262144	124762	7.21319	2.33867	1.49152	0.847147	4.87452	3.66677	1.20775	315265.0	80737.7	234527.0	0	0	0	0	0	8	84	30	31	80
4	131072	16	4	2	8	524288	54616	53.1942	2.38145	1.53662	0.844834	50.8127	41.3081	9.50465	2080210.0	76209.4	2004000.0	0	0	0	0	0	8	84	30	31	78
1	131072	8	4	1	2	262144	99611	98.0885	5.68202	4.61933	1.0627	92.4065	83.6189	8.78763	2091440.0	97957.9	1993480.0	0	0	0	0	0	8	84	30	31	76
1	32768	8	2	4	2	262144	111460	25.6462	5.19161	4.12891	1.0627	20.4546	17.9161	2.53852	511630.0	97957.9	413672.0	0	0	0	0	0	8	84	30	31	76
2	32768	4	4	1	16	524288	68850	16.0999	3.54668	2.69953	0.847147	12.5532	10.243	2.31017	535926.0	80737.7	455188.0	0	0	0	0	0	8	84	30	31	80
2	65536	4	4	4	8	262144	73163	22.6765	3.38675	2.5396	0.847147	19.2897	15.0007	4.28904	965571.0	80737.7	884833.0	0	0	0	0	0	8	84	30	31	80
2	16384	4	4	2	4	131072	71519	11.8334	3.44562	2.59847	0.847147	8.38774	7.09498	1.29277	315181.0	80737.7	234443.0	0	0	0	0	0	8	84	30	31	80
2	131072	4	1	1	16	262144	51929	48.2184	4.4263	3.57915	0.847147	43.7921	35.043	8.7491	2364690.0	80737.7	2283950.0	0	0	0	0	0	8	84	30	31	80
4	65536	1	1	2	8	524288	94205	11.1541	1.75002	0.902816	0.8472	9.40407	5.3261	4.07797	928064.0	76400.8	851663.0	0	0	0	0	0	8	84	30	31	79
2	32768	16	4	1	1	131072	118956	34.3368	2.41406	1.56691	0.847147	31.9228	28.1179	3.80483	942641.0	80737.7	861903.0	0	0	0	0	0	8	84	30	31	80
1	32768	16	4	2	16	1048576	99301	76.2801	5.68917	4.63357	1.0556	70.591	66.7861	3.80483	959287.0	97383.7	861903.0	0	0	0	0	0	8	84	30	31	73
4	32768	16	2	2	2	262144	76916	27.3869	1.94045	1.09088	0.849567	25.4464	21.6416	3.80483	938495.0	76592.2	861903.0	0	0	0	0	0	8	84	30	31	80
1	65536	8	2	2	4	262144	91421	37.4002	6.08855	5.03295	1.0556	31.3116	26.7883	4.52326	982029.0	97383.7	884645.0	0	0	0	0	0	8	84	30	31	73
2	131072	2	2	2	16	524288	56469	80.0354	4.12885	3.29117	0.837681	75.9065	67.6228	8.2837	2027550.0	79972.1	1947580.0	0	0	0	0	0	8	84	30	31	76
1	32768	2	4	2	16	524288	98424	21.0953	5.73034	4.67474	1.0556	15.365	13.1167	2.24834	552745.0	97383.7	455361.0	0	0	0	0	0	8	84	30	31	73
1	65536	2	4	1	2	1048576	109820	28.2416	5.25696	4.19189	1.06507	22.9846	18.8584	4.12621	950651.0	98149.3	852502.0	0	0	0	0	0	8	84	30	31	77
4	16384	4	4	2	1	1048576	115026	5.09183	1.5772	0.729996	0.8472	3.51464	2.22187	1.29277	310844.0	76400.8	234443.0	0	0	0	0	0	8	84	30	31	79
4	16384	2	4	1	16	1048576	58208	7.57565	2.2721	1.44147	0.830635	5.30354	4.07261	1.23093	309682.0	75061.0	234621.0	0	0	0	0	0	8	84	30	31	72
1	16384	4	4	1	4	131072	99147	17.3319	5.7062	4.64114	1.06507	11.6257	10.3329	1.29277	332593.0	98149.3	234443.0	0	0	0	0	0	8	84	30	31	77
2	32768	16	4	2	16	524288	70925	53.7873	3.46743	2.62029	0.847147	50.3199	46.515	3.80483	942641.0	80737.7	861903.0	0	0	0	0	0	8	84	30	31	80
4	131072	16	2	1	16	1048576	46713	60.5991	2.63454	1.7968	0.837734	57.9646	48.4599	9.50465	2079640.0	75635.2	2004000.0	0	0	0	0	0	8	84	30	31	75
